,Word,Count_US,Count_Rus,Count
188,convicted,4.0,0.0,0.0
189,present,4.0,0.0,8.0
190,removal,4.0,0.0,0.0
191,hold,4.0,7.0,0.0
192,trust,4.0,0.0,0.0
193,party,4.0,0.0,0.0
194,punishment,4.0,0.0,3.0
195,times,4.0,0.0,0.0
196,places,4.0,0.0,0.0
197,prescribed,4.0,0.0,0.0
198,assemble,4.0,0.0,0.0
199,different,4.0,0.0,0.0
200,federation,0.0,491.0,0.0
201,russian,0.0,468.0,0.0
202,federal,0.0,163.0,0.0
203,duma,0.0,85.0,0.0
204,bodies,0.0,77.0,0.0
205,oblast,0.0,64.0,0.0
206,council,0.0,59.0,0.0
207,constituent,0.0,57.0,0.0
208,constitutional,0.0,50.0,0.0
209,rights,0.0,47.0,13.0
210,entities,0.0,45.0,4.0
211,accordance,0.0,45.0,8.0
212,established,0.0,38.0,6.0
213,(her),0.0,37.0,0.0
214,procedure,0.0,37.0,3.0
215,everyone,0.0,35.0,0.0
216,federation;,0.0,34.0,0.0
217,freedoms,0.0,32.0,0.0
218,autonomous,0.0,31.0,0.0
219,local,0.0,30.0,9.0
220,adopted,0.0,29.0,0.0
221,deputies,0.0,28.0,0.0
222,republic,0.0,26.0,0.0
223,human,0.0,25.0,4.0
224,self-government,0.0,25.0,0.0
225,international,0.0,25.0,3.0
226,legal,0.0,24.0,0.0
227,protection,0.0,23.0,0.0
228,chairman,0.0,23.0,0.0
229,civil,0.0,22.0,0.0
230,basis,0.0,22.0,0.0
231,issues,0.0,20.0,0.0
232,territory,0.0,19.0,0.0
233,guaranteed,0.0,18.0,9.0
234,order,0.0,18.0,9.0
235,general,0.0,18.0,10.0
236,event,0.0,18.0,0.0
237,5,0.0,17.0,0.0
238,legislative,0.0,17.0,0.0
239,principles,0.0,16.0,0.0
240,between,0.0,16.0,0.0
241,force,0.0,16.0,0.0
242,provisions,0.0,16.0,5.0
243,-,0.0,15.0,0.0
244,social,0.0,15.0,4.0
245,ensure,0.0,14.0,0.0
246,envisaged,0.0,14.0,0.0
247,recognized,0.0,14.0,3.0
248,system,0.0,13.0,0.0
249,nobody,0.0,13.0,0.0
250,property,0.0,13.0,9.0
251,judges,0.0,13.0,14.0
252,health,0.0,12.0,0.0
253,assembly,0.0,12.0,0.0
254,courts,0.0,12.0,7.0
255,treaties,0.0,12.0,4.0
256,acts,0.0,12.0,5.0
257,basic,0.0,12.0,0.0
258,implementation,0.0,12.0,0.0
259,use,0.0,12.0,5.0
260,education,0.0,12.0,5.0
261,determined,0.0,12.0,8.0
262,has,0.0,12.0,5.0
263,total,0.0,12.0,0.0
264,chapter,0.0,11.0,12.0
265,free,0.0,11.0,0.0
266,elections,0.0,11.0,0.0
267,kray,0.0,11.0,0.0
268,okrug,0.0,11.0,0.0
269,economic,0.0,11.0,0.0
270,conflict,0.0,11.0,0.0
271,only,0.0,11.0,5.0
272,work,0.0,11.0,0.0
273,entity,0.0,11.0,3.0
274,prosecutor,0.0,11.0,0.0
275,prosecutors,0.0,11.0,0.0
276,cities,0.0,10.0,0.0
277,life,0.0,10.0,3.0
278,security,0.0,10.0,0.0
279,treaty,0.0,10.0,0.0
280,activities,0.0,10.0,0.0
281,normative,0.0,10.0,0.0
282,status,0.0,10.0,0.0
283,permitted,0.0,10.0,0.0
284,deputy,0.0,10.0,0.0
285,decision,0.0,10.0,7.0
286,republics,0.0,9.0,0.0
287,significance,0.0,9.0,0.0
288,policy,0.0,9.0,0.0
289,protected,0.0,9.0,0.0
